feature_id,feature_name,vt_index,orig_index,orig_col
104,core__t2__log-sigma-0-5-mm-3D_gldm_DependenceVariance,104,104,core__t2__log-sigma-0-5-mm-3D_gldm_DependenceVariance
105,core__t1__wavelet-LHH_glcm_InverseVariance,105,105,core__t1__wavelet-LHH_glcm_InverseVariance
106,core__flair__wavelet-HLH_glszm_SmallAreaEmphasis,106,106,core__flair__wavelet-HLH_glszm_SmallAreaEmphasis
107,core__t1__wavelet-LHL_glcm_Imc1,107,107,core__t1__wavelet-LHL_glcm_Imc1
108,core__flair__wavelet-HHH_glszm_SmallAreaEmphasis,108,108,core__flair__wavelet-HHH_glszm_SmallAreaEmphasis
109,core__t1ce__wavelet-LLH_gldm_DependenceVariance,109,109,core__t1ce__wavelet-LLH_gldm_DependenceVariance
110,core__t2__log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,110,110,core__t2__log-sigma-2-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis
111,core__flair__wavelet-LLL_firstorder_Kurtosis,111,111,core__flair__wavelet-LLL_firstorder_Kurtosis
112,core__t2__log-sigma-1-0-mm-3D_gldm_DependenceVariance,112,112,core__t2__log-sigma-1-0-mm-3D_gldm_DependenceVariance
113,core__t1ce__wavelet-HHL_glcm_Imc1,113,113,core__t1ce__wavelet-HHL_glcm_Imc1
114,core__t1ce__wavelet-HLH_firstorder_Skewness,114,114,core__t1ce__wavelet-HLH_firstorder_Skewness
115,core__t1ce__wavelet-HHL_glszm_ZoneEntropy,115,115,core__t1ce__wavelet-HHL_glszm_ZoneEntropy
116,core__t2__wavelet-LHH_firstorder_Kurtosis,116,116,core__t2__wavelet-LHH_firstorder_Kurtosis
117,core__t1__original_glszm_SmallAreaLowGrayLevelEmphasis,117,117,core__t1__original_glszm_SmallAreaLowGrayLevelEmphasis
118,core__t1__log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,118,118,core__t1__log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis
119,core__t1ce__wavelet-HHL_firstorder_Mean,119,119,core__t1ce__wavelet-HHL_firstorder_Mean
120,core__t2__wavelet-HLH_glcm_InverseVariance,120,120,core__t2__wavelet-HLH_glcm_InverseVariance
121,core__t2__log-sigma-1-0-mm-3D_glcm_Imc1,121,121,core__t2__log-sigma-1-0-mm-3D_glcm_Imc1
122,core__t1ce__wavelet-HHH_firstorder_Skewness,122,122,core__t1ce__wavelet-HHH_firstorder_Skewness
123,core__t1ce__wavelet-LHL_glszm_SmallAreaEmphasis,123,123,core__t1ce__wavelet-LHL_glszm_SmallAreaEmphasis
124,core__t1ce__wavelet-LLH_firstorder_Median,124,124,core__t1ce__wavelet-LLH_firstorder_Median
125,core__t2__wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,125,125,core__t2__wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis
126,core__t2__wavelet-HHL_firstorder_Mean,126,126,core__t2__wavelet-HHL_firstorder_Mean
127,core__t2__wavelet-LHL_glszm_SizeZoneNonUniformity,127,127,core__t2__wavelet-LHL_glszm_SizeZoneNonUniformity
128,core__t2__log-sigma-0-5-mm-3D_glszm_SmallAreaEmphasis,128,128,core__t2__log-sigma-0-5-mm-3D_glszm_SmallAreaEmphasis
129,core__t2__wavelet-HLH_glszm_SmallAreaEmphasis,129,129,core__t2__wavelet-HLH_glszm_SmallAreaEmphasis
130,core__t1__wavelet-HLH_glcm_Imc2,130,130,core__t1__wavelet-HLH_glcm_Imc2
131,core__t1__log-sigma-3-0-mm-3D_firstorder_Maximum,131,131,core__t1__log-sigma-3-0-mm-3D_firstorder_Maximum
132,core__t1ce__log-sigma-1-0-mm-3D_glcm_MCC,132,132,core__t1ce__log-sigma-1-0-mm-3D_glcm_MCC
133,core__flair__wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis,133,133,core__flair__wavelet-HLL_glszm_SmallAreaLowGrayLevelEmphasis
134,core__t1ce__wavelet-LHH_firstorder_Kurtosis,134,134,core__t1ce__wavelet-LHH_firstorder_Kurtosis
135,core__flair__wavelet-LLH_glcm_Imc2,135,135,core__flair__wavelet-LLH_glcm_Imc2
136,core__t1__wavelet-LHL_ngtdm_Contrast,136,136,core__t1__wavelet-LHL_ngtdm_Contrast
137,core__t1ce__log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,137,137,core__t1ce__log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis
138,core__t2__original_shape_Sphericity,138,138,core__t2__original_shape_Sphericity
139,core__t1ce__wavelet-LHL_ngtdm_Strength,139,139,core__t1ce__wavelet-LHL_ngtdm_Strength
140,core__t1ce__wavelet-LLH_glszm_SmallAreaEmphasis,140,140,core__t1ce__wavelet-LLH_glszm_SmallAreaEmphasis
141,core__flair__wavelet-LLL_glszm_ZoneEntropy,141,141,core__flair__wavelet-LLL_glszm_ZoneEntropy
142,core__t1ce__wavelet-LLH_ngtdm_Contrast,142,142,core__t1ce__wavelet-LLH_ngtdm_Contrast
143,core__flair__wavelet-HLL_glcm_Imc2,143,143,core__flair__wavelet-HLL_glcm_Imc2
144,core__t2__wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,144,144,core__t2__wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis
145,core__t2__wavelet-LHL_glcm_MCC,145,145,core__t2__wavelet-LHL_glcm_MCC
146,core__flair__wavelet-LHL_gldm_DependenceVariance,146,146,core__flair__wavelet-LHL_gldm_DependenceVariance
147,core__t1__wavelet-HHH_glcm_ClusterShade,147,147,core__t1__wavelet-HHH_glcm_ClusterShade
148,core__t2__wavelet-HLL_ngtdm_Complexity,148,148,core__t2__wavelet-HLL_ngtdm_Complexity
149,core__flair__wavelet-LHH_firstorder_Skewness,149,149,core__flair__wavelet-LHH_firstorder_Skewness
150,core__t1ce__wavelet-LHH_glcm_Imc2,150,150,core__t1ce__wavelet-LHH_glcm_Imc2
151,core__t1ce__wavelet-HLH_firstorder_Kurtosis,151,151,core__t1ce__wavelet-HLH_firstorder_Kurtosis
152,core__flair__wavelet-LLL_glcm_ClusterShade,152,152,core__flair__wavelet-LLL_glcm_ClusterShade
153,core__t1ce__original_gldm_DependenceNonUniformityNormalized,153,153,core__t1ce__original_gldm_DependenceNonUniformityNormalized
154,core__flair__wavelet-LLL_ngtdm_Contrast,154,154,core__flair__wavelet-LLL_ngtdm_Contrast
155,core__t2__wavelet-LLH_glszm_ZoneEntropy,155,155,core__t2__wavelet-LLH_glszm_ZoneEntropy
156,core__t1__log-sigma-3-0-mm-3D_glcm_ClusterShade,156,156,core__t1__log-sigma-3-0-mm-3D_glcm_ClusterShade
157,core__t1__wavelet-LLH_gldm_DependenceVariance,157,157,core__t1__wavelet-LLH_gldm_DependenceVariance
158,core__t1ce__wavelet-LHH_firstorder_Mean,158,158,core__t1ce__wavelet-LHH_firstorder_Mean
159,core__t2__wavelet-LHH_glszm_SmallAreaEmphasis,159,159,core__t2__wavelet-LHH_glszm_SmallAreaEmphasis
160,core__flair__wavelet-LHH_glcm_ClusterShade,160,160,core__flair__wavelet-LHH_glcm_ClusterShade
161,core__flair__wavelet-HLL_glcm_Correlation,161,161,core__flair__wavelet-HLL_glcm_Correlation
162,core__t1ce__wavelet-HLH_ngtdm_Strength,162,162,core__t1ce__wavelet-HLH_ngtdm_Strength
163,core__t2__original_glrlm_ShortRunLowGrayLevelEmphasis,163,163,core__t2__original_glrlm_ShortRunLowGrayLevelEmphasis
164,core__t1ce__wavelet-LLH_glcm_MCC,164,164,core__t1ce__wavelet-LLH_glcm_MCC
165,core__t2__log-sigma-0-5-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,165,165,core__t2__log-sigma-0-5-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis
166,core__t1ce__log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,166,166,core__t1ce__log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis
167,core__flair__log-sigma-1-0-mm-3D_glcm_ClusterShade,167,167,core__flair__log-sigma-1-0-mm-3D_glcm_ClusterShade
168,core__t1ce__wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis,168,168,core__t1ce__wavelet-LLL_glszm_SmallAreaLowGrayLevelEmphasis
169,core__t2__log-sigma-3-0-mm-3D_glcm_Imc1,169,169,core__t2__log-sigma-3-0-mm-3D_glcm_Imc1
170,core__t2__log-sigma-1-0-mm-3D_firstorder_Kurtosis,170,170,core__t2__log-sigma-1-0-mm-3D_firstorder_Kurtosis
171,core__flair__log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,171,171,core__flair__log-sigma-1-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis
172,core__t1ce__wavelet-LHL_glcm_InverseVariance,172,172,core__t1ce__wavelet-LHL_glcm_InverseVariance
173,core__flair__log-sigma-3-0-mm-3D_gldm_DependenceNonUniformityNormalized,173,173,core__flair__log-sigma-3-0-mm-3D_gldm_DependenceNonUniformityNormalized
174,core__t2__wavelet-LLH_glrlm_RunEntropy,174,174,core__t2__wavelet-LLH_glrlm_RunEntropy
175,core__t1__wavelet-LLL_glcm_ClusterShade,175,175,core__t1__wavelet-LLL_glcm_ClusterShade
176,core__t2__wavelet-LHH_firstorder_Mean,176,176,core__t2__wavelet-LHH_firstorder_Mean
177,core__flair__wavelet-HHH_glcm_Imc2,177,177,core__flair__wavelet-HHH_glcm_Imc2
178,core__t1ce__wavelet-LHL_glcm_Imc1,178,178,core__t1ce__wavelet-LHL_glcm_Imc1
179,core__t1__log-sigma-1-0-mm-3D_glcm_ClusterShade,179,179,core__t1__log-sigma-1-0-mm-3D_glcm_ClusterShade
180,core__t2__log-sigma-2-0-mm-3D_firstorder_Skewness,180,180,core__t2__log-sigma-2-0-mm-3D_firstorder_Skewness
181,core__t1ce__wavelet-LLL_glszm_ZoneEntropy,181,181,core__t1ce__wavelet-LLL_glszm_ZoneEntropy
182,core__t1__log-sigma-3-0-mm-3D_ngtdm_Complexity,182,182,core__t1__log-sigma-3-0-mm-3D_ngtdm_Complexity
183,core__flair__wavelet-LLH_gldm_DependenceNonUniformityNormalized,183,183,core__flair__wavelet-LLH_gldm_DependenceNonUniformityNormalized
184,core__t1__wavelet-LHH_glcm_Imc2,184,184,core__t1__wavelet-LHH_glcm_Imc2
185,core__t1ce__wavelet-HHL_firstorder_Median,185,185,core__t1ce__wavelet-HHL_firstorder_Median
186,core__t2__wavelet-HLH_firstorder_Skewness,186,186,core__t2__wavelet-HLH_firstorder_Skewness
187,core__t1ce__wavelet-LHH_glcm_ClusterShade,187,187,core__t1ce__wavelet-LHH_glcm_ClusterShade
188,core__flair__wavelet-HHH_firstorder_Median,188,188,core__flair__wavelet-HHH_firstorder_Median
189,core__t2__wavelet-LHL_glcm_Correlation,189,189,core__t2__wavelet-LHL_glcm_Correlation
190,core__t1__log-sigma-0-5-mm-3D_firstorder_Skewness,190,190,core__t1__log-sigma-0-5-mm-3D_firstorder_Skewness
191,core__flair__wavelet-LLH_gldm_DependenceVariance,191,191,core__flair__wavelet-LLH_gldm_DependenceVariance
192,core__flair__wavelet-HHL_firstorder_Median,192,192,core__flair__wavelet-HHL_firstorder_Median
193,core__t1ce__wavelet-HLH_glcm_ClusterShade,193,193,core__t1ce__wavelet-HLH_glcm_ClusterShade
194,core__t2__wavelet-LLL_firstorder_Skewness,194,194,core__t2__wavelet-LLL_firstorder_Skewness
195,core__t1ce__wavelet-HLL_glcm_InverseVariance,195,195,core__t1ce__wavelet-HLL_glcm_InverseVariance
196,core__t1__log-sigma-3-0-mm-3D_glrlm_GrayLevelVariance,196,196,core__t1__log-sigma-3-0-mm-3D_glrlm_GrayLevelVariance
197,core__t2__wavelet-LHH_glcm_MaximumProbability,197,197,core__t2__wavelet-LHH_glcm_MaximumProbability
198,core__flair__wavelet-LHH_gldm_DependenceVariance,198,198,core__flair__wavelet-LHH_gldm_DependenceVariance
199,core__flair__wavelet-LLH_firstorder_Mean,199,199,core__flair__wavelet-LLH_firstorder_Mean
200,core__flair__wavelet-LLL_glcm_Idn,200,200,core__flair__wavelet-LLL_glcm_Idn
201,core__t1__wavelet-HHL_firstorder_Skewness,201,201,core__t1__wavelet-HHL_firstorder_Skewness
202,core__t1ce__wavelet-LLL_firstorder_Skewness,202,202,core__t1ce__wavelet-LLL_firstorder_Skewness
203,core__t1ce__wavelet-HHH_firstorder_Median,203,203,core__t1ce__wavelet-HHH_firstorder_Median
204,core__t1ce__wavelet-HLH_ngtdm_Contrast,204,204,core__t1ce__wavelet-HLH_ngtdm_Contrast
205,core__t1__log-sigma-2-0-mm-3D_glcm_MCC,205,205,core__t1__log-sigma-2-0-mm-3D_glcm_MCC
206,core__t2__wavelet-HHL_glcm_InverseVariance,206,206,core__t2__wavelet-HHL_glcm_InverseVariance
207,core__t2__log-sigma-1-0-mm-3D_glcm_ClusterShade,207,207,core__t2__log-sigma-1-0-mm-3D_glcm_ClusterShade
208,core__t1__wavelet-HLH_glcm_InverseVariance,208,208,core__t1__wavelet-HLH_glcm_InverseVariance
209,core__flair__log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,209,209,core__flair__log-sigma-1-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis
210,core__flair__log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis,210,210,core__flair__log-sigma-3-0-mm-3D_glszm_SmallAreaLowGrayLevelEmphasis
211,core__t1ce__log-sigma-3-0-mm-3D_firstorder_Kurtosis,211,211,core__t1ce__log-sigma-3-0-mm-3D_firstorder_Kurtosis
212,core__t2__wavelet-HHL_firstorder_Median,212,212,core__t2__wavelet-HHL_firstorder_Median
213,core__t2__wavelet-HLL_glcm_InverseVariance,213,213,core__t2__wavelet-HLL_glcm_InverseVariance
214,core__t2__wavelet-LHL_firstorder_Median,214,214,core__t2__wavelet-LHL_firstorder_Median
215,core__t1__wavelet-HLL_firstorder_Mean,215,215,core__t1__wavelet-HLL_firstorder_Mean
216,core__t1__wavelet-HLL_glszm_ZoneEntropy,216,216,core__t1__wavelet-HLL_glszm_ZoneEntropy
217,core__t1__wavelet-HHL_firstorder_Median,217,217,core__t1__wavelet-HHL_firstorder_Median
218,core__t1ce__wavelet-LLL_glrlm_RunEntropy,218,218,core__t1ce__wavelet-LLL_glrlm_RunEntropy
219,core__flair__wavelet-HLL_ngtdm_Complexity,219,219,core__flair__wavelet-HLL_ngtdm_Complexity
220,core__t1__wavelet-LHH_glszm_SmallAreaEmphasis,220,220,core__t1__wavelet-LHH_glszm_SmallAreaEmphasis
221,core__flair__wavelet-LHH_glcm_Imc2,221,221,core__flair__wavelet-LHH_glcm_Imc2
222,core__flair__log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis,222,222,core__flair__log-sigma-3-0-mm-3D_glszm_SmallAreaEmphasis
223,core__flair__log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity,223,223,core__flair__log-sigma-3-0-mm-3D_glszm_SizeZoneNonUniformity
224,core__flair__wavelet-HLL_glcm_Imc1,224,224,core__flair__wavelet-HLL_glcm_Imc1
225,core__t1__log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,225,225,core__t1__log-sigma-3-0-mm-3D_glszm_LowGrayLevelZoneEmphasis
226,core__t1__wavelet-LHL_ngtdm_Complexity,226,226,core__t1__wavelet-LHL_ngtdm_Complexity
227,core__t1__wavelet-LLL_glszm_SizeZoneNonUniformity,227,227,core__t1__wavelet-LLL_glszm_SizeZoneNonUniformity
228,core__t1ce__log-sigma-0-5-mm-3D_glcm_MCC,228,228,core__t1ce__log-sigma-0-5-mm-3D_glcm_MCC
229,core__t1__log-sigma-0-5-mm-3D_glszm_SmallAreaEmphasis,229,229,core__t1__log-sigma-0-5-mm-3D_glszm_SmallAreaEmphasis
230,core__t2__wavelet-LLL_glcm_MCC,230,230,core__t2__wavelet-LLL_glcm_MCC
231,core__t1ce__wavelet-LLL_firstorder_Minimum,231,231,core__t1ce__wavelet-LLL_firstorder_Minimum
232,core__flair__wavelet-LHH_glcm_InverseVariance,232,232,core__flair__wavelet-LHH_glcm_InverseVariance
233,core__t1__wavelet-LHL_ngtdm_Strength,233,233,core__t1__wavelet-LHL_ngtdm_Strength
234,core__flair__log-sigma-3-0-mm-3D_firstorder_Kurtosis,234,234,core__flair__log-sigma-3-0-mm-3D_firstorder_Kurtosis
235,core__flair__wavelet-HLH_firstorder_Skewness,235,235,core__flair__wavelet-HLH_firstorder_Skewness
236,core__t2__wavelet-HLL_glcm_Correlation,236,236,core__t2__wavelet-HLL_glcm_Correlation
237,core__t1__wavelet-LLL_glcm_Imc1,237,237,core__t1__wavelet-LLL_glcm_Imc1
238,core__t1__wavelet-HLH_glrlm_RunEntropy,238,238,core__t1__wavelet-HLH_glrlm_RunEntropy
239,core__t1__log-sigma-1-0-mm-3D_glcm_MCC,239,239,core__t1__log-sigma-1-0-mm-3D_glcm_MCC
240,core__t1ce__wavelet-LHL_glcm_Correlation,240,240,core__t1ce__wavelet-LHL_glcm_Correlation
241,core__flair__log-sigma-0-5-mm-3D_glcm_Imc1,241,241,core__flair__log-sigma-0-5-mm-3D_glcm_Imc1
242,core__flair__log-sigma-0-5-mm-3D_glcm_InverseVariance,242,242,core__flair__log-sigma-0-5-mm-3D_glcm_InverseVariance
243,core__flair__log-sigma-0-5-mm-3D_glcm_MCC,243,243,core__flair__log-sigma-0-5-mm-3D_glcm_MCC
244,core__flair__log-sigma-0-5-mm-3D_gldm_DependenceVariance,244,244,core__flair__log-sigma-0-5-mm-3D_gldm_DependenceVariance
245,core__flair__log-sigma-0-5-mm-3D_ngtdm_Complexity,245,245,core__flair__log-sigma-0-5-mm-3D_ngtdm_Complexity
246,core__flair__log-sigma-0-5-mm-3D_ngtdm_Contrast,246,246,core__flair__log-sigma-0-5-mm-3D_ngtdm_Contrast
247,core__flair__log-sigma-1-0-mm-3D_firstorder_Skewness,247,247,core__flair__log-sigma-1-0-mm-3D_firstorder_Skewness
248,core__flair__log-sigma-1-0-mm-3D_glcm_Imc1,248,248,core__flair__log-sigma-1-0-mm-3D_glcm_Imc1
249,core__flair__log-sigma-1-0-mm-3D_gldm_DependenceVariance,249,249,core__flair__log-sigma-1-0-mm-3D_gldm_DependenceVariance
250,core__flair__log-sigma-1-0-mm-3D_glrlm_RunEntropy,250,250,core__flair__log-sigma-1-0-mm-3D_glrlm_RunEntropy
251,core__flair__log-sigma-3-0-mm-3D_glcm_MCC,251,251,core__flair__log-sigma-3-0-mm-3D_glcm_MCC
252,core__flair__log-sigma-3-0-mm-3D_glrlm_RunEntropy,252,252,core__flair__log-sigma-3-0-mm-3D_glrlm_RunEntropy
253,core__flair__log-sigma-3-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,253,253,core__flair__log-sigma-3-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis
254,core__flair__log-sigma-3-0-mm-3D_ngtdm_Contrast,254,254,core__flair__log-sigma-3-0-mm-3D_ngtdm_Contrast
255,core__flair__original_glszm_ZoneEntropy,255,255,core__flair__original_glszm_ZoneEntropy
